0
"I photoshop animals into things as a hobby. Here's a Pineappowl., par animalsinthings"
"he sounds like a fun and upbeat guy, par Ok_Mud2019"
"Zelenskyy says that the invasion of Ukraine would stop if Putin suddenly dies, par GentlyAccomplished"
"Host had other things on his mind, par Emile-1992"
"[OC] UK housing most unaffordable since Victorian times, par jcceagle"
"TIL Mr. Snuffleupagus from 'Sesame Street' was originally a friend of Big Bird's that everyone else thought was imaginary, and it was decided that he should be seen by other people to encourage children to talk about any abuse they might have suffered., par davetowers646"
"[HailStateFB] MSU Bulldog family, college football community mourns the death of Coach Mike Leach, par magnumweiner"
"GOP Congressman Wanted Trump to Invoke ‘Marshall Law’ to Stay in Office: Leaked Texts, par misana123"
"to cancel him for racism, par Erik-05"
"Identical twin sisters, Briana and Brittany, marry identical twin brothers Josh and Jeremy and both give birth to male kids, par Blxckdust"
"R/MEMES MEME QUIZ #2, par elch3w"
"Not mine, prob a repost, but thought it was funny., par Chozo_Hybrid"
"Secret Santa, par TheNihilist911"
"So, I'm on a first date when...., par opgary"
"Oh fuck me. Don't forget to check your linkedin inbox once in a while, kids, par ElliElephant"
"You know you’re beautiful, Lance., par thejollysorcery"
"Princess Diana breaks royal protocol for son Harry by participating in a mother's school race (1991), par pifuel"
"I can almost smell the 90's when I look at this, par HarryGoLocky"
"meirl, par Signal-Top1208"
"Being too lazy to go out for junk food is an example of 2 negatives becoming a positive., par VictoryFlaky2004"
"2meirl4meirl, par VastDisobedience"
"UGH! Another miserable day?!, par GregorCZ"
"Deadbolt stays locked every night now, par fourNtwentyz"
"Luke had a much higher kill count than Anakin at the same age., par Mr_CockSwing"
"""Babies are absolutely biodegradable"", par FarBarber401"
"chill one, par TechPriestpupper"
"[Image]Dont be afriad, par hedgedIlex"
"aiRporT foRcEs cOupLe tO wAiT 458 dAys foR thEir lUgGagE, par BrunoAndRoyal"
"Based on a true story. Players should be allowed to just describe what they say instead of having to say it. Not everyone can be Sam Riegel., par M4n0fF6wW0rd5"
"Idk of this is on here, par learned_folklore"
"It's the hand that has been blessed by Satan, par Idle_Godess"
"ich_iel, par DeanPalton"
"I went to [insert large city] and it was horrible Starter Pack, par AstonVanilla"
